expression,reading,meaning,tags
姓,せい,"surname, family name",JLPT JLPT_2 JLPT_3
所為,せい,"cause, reason, fault",JLPT JLPT_2 JLPT_3
税,ぜい,tax,JLPT JLPT_2 JLPT_3
性格,せいかく,"character, personality",JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3
正確,せいかく,"accurate, punctuality, exact",JLPT JLPT_2 JLPT_3
世紀,せいき,century,JLPT JLPT_2 JLPT_3
請求,せいきゅう,"claim, demand, request",JLPT JLPT_2 JLPT_3
税金,ぜいきん,"tax, duty",Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki
清潔,せいけつ,clean,JLPT JLPT_2 JLPT_3
制限,せいげん,"restriction, restraint, limitation",JLPT JLPT_2 JLPT_3
成功,せいこう,"success, hit",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
正式,せいしき,"official, formal",JLPT JLPT_2 JLPT_3
性質,せいしつ,"nature, property, disposition",JLPT JLPT_2 JLPT_3
精神,せいしん,"mind, soul, spirit",JLPT JLPT_2 JLPT_3
成人,せいじん,adult,JLPT JLPT_2 JLPT_3
精々,せいぜい,"at the most, at best",JLPT JLPT_2 JLPT_3
成績,せいせき,"grade (i.e., on a test), academic record",JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3
製造,せいぞう,"manufacture, production",JLPT JLPT_2 JLPT_3
贅沢,ぜいたく,"luxury, extravagance",JLPT JLPT_2 JLPT_3
成長,せいちょう,growth,JLPT JLPT_2 JLPT_3
生長,せいちょう,growth,JLPT JLPT_2 JLPT_3
制度,せいど,"system, institution",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
青年,せいねん,"youth, young man",JLPT JLPT_2 JLPT_3
生年月日,せいねんがっぴ,birth date,JLPT JLPT_2 JLPT_3
製品,せいひん,"manufactured goods, finished goods",JLPT JLPT_2 JLPT_3
政府,せいふ,"government, administration",JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki_Ln.21
生物,せいぶつ,"living thing, organism",JLPT JLPT_2 JLPT_3
生命,せいめい,life,JLPT JLPT_2 JLPT_3
整理,せいり,"sorting, arrangement",JLPT JLPT_2 JLPT_3
咳,せき,cough,JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
石炭,せきたん,coal,JLPT JLPT_2 JLPT_3
責任,せきにん,"duty, responsibility",JLPT JLPT_2 JLPT_3
石油,せきゆ,"oil, petroleum, kerosene",JLPT JLPT_2 JLPT_3
世間,せけん,"world, society",JLPT JLPT_2 JLPT_3
説,せつ,theory,JLPT JLPT_2 JLPT_3
積極的,せっきょくてき,"positive, active, proactive",JLPT JLPT_2 JLPT_3
設計,せっけい,"plan, design",JLPT JLPT_2 JLPT_3
絶対,ぜったい,"definitely, without fail, absoluteness",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
セット,セット,set,JLPT JLPT_2 JLPT_3
愛,あい,love,JLPT JLPT_2 JLPT_3
相変わらず,あいかわらず,"as ever, as usual",JLPT JLPT_2 JLPT_3
愛情,あいじょう,"love, affection",JLPT JLPT_2 JLPT_3
合図,あいず,"sign, signal",JLPT JLPT_2 JLPT_3
アイスクリーム,アイスクリーム,ice cream,JLPT JLPT_2 JLPT_3
愛する,あいする,to love,JLPT JLPT_2 JLPT_3
相手,あいて,partner; addressee; the person you are talking to,Genki Genki_Ln.22 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_2 JLPT_3
あいにく,あいにく,unfortunately,JLPT JLPT_2 JLPT_3
遭う,あう,"to meet, to encounter (undesirable nuance)",JLPT JLPT_2 JLPT_3
アウト,アウト,out,JLPT JLPT_2 JLPT_3
明かり,あかり,"lamplight, light (in general)",JLPT JLPT_2 JLPT_3
空き,あき,"vacancy, opening, space",JLPT JLPT_2 JLPT_3
明らか,あきらか,"obvious, clear",JLPT JLPT_2 JLPT_3
諦める,あきらめる,"to give up, to abandon",Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2 JLPT_3
飽きる,あきる,"to get tired of, to lose interest in",JLPT JLPT_2 JLPT_3
握手,あくしゅ,handshake,JLPT JLPT_2 JLPT_3
悪魔,あくま,"devil, demon, evil spirit",JLPT JLPT_2 JLPT_3
明ける,あける,"to dawn, to become daylight",JLPT JLPT_2 JLPT_3
揚げる,あげる,"to lift, to fry",JLPT JLPT_2 JLPT_3
挙げる,あげる,"to raise; to list, to cite",JLPT JLPT_2 JLPT_3
預かる,あずかる,to keep (something) for (someone),Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_2 JLPT_3
預ける,あずける,"to give into custody, to deposit",JLPT JLPT_2 JLPT_3
汗,あせ,"sweat, perspiration",JLPT JLPT_2 JLPT_3
与える,あたえる,to give,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_2 JLPT_3
温かい,あたたかい,warm,JLPT JLPT_2 JLPT_3
暖まる,あたたまる,to warm up,JLPT JLPT_2 JLPT_3
温まる,あたたまる,"to warm oneself, to get warm",JLPT JLPT_2 JLPT_3
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",JLPT JLPT_2 JLPT_3
温める,あたためる,"to warm, to heat",JLPT JLPT_2 JLPT_3
辺り,あたり,"vicinity, nearby",Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_2 JLPT_3
当たり前,あたりまえ,"usual, common, obvious",JLPT JLPT_2 JLPT_3
当たる,あたる,"to be hit, to be successful",JLPT JLPT_2 JLPT_3
あちこち,あちこち,here and there,JLPT JLPT_2 JLPT_3
扱う,あつかう,"to treat, to handle, to deal with",Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2 JLPT_3
集まり,あつまり,"gathering, meeting, collection",JLPT JLPT_2 JLPT_3
当てる,あてる,to hit; to apply to,JLPT JLPT_2 JLPT_3
跡,あと,trace; remains; scar,JLPT JLPT_2 JLPT_3
穴,あな,hole,JLPT JLPT_2 JLPT_3
油,あぶら,oil,JLPT JLPT_2 JLPT_3
脂,あぶら,fat,JLPT JLPT_2 JLPT_3
誤り,あやまり,error,JLPT JLPT_2 JLPT_3
粗,あら,"defect, flaw, fault",JLPT JLPT_2 JLPT_3
嵐,あらし,storm,JLPT JLPT_2 JLPT_3
争う,あらそう,"to dispute, to argue, to fight",JLPT JLPT_2 JLPT_3
新た,あらた,"new, fresh",JLPT JLPT_2 JLPT_3
あらゆる,あらゆる,"all, every",JLPT JLPT_2 JLPT_3
表す,あらわす,"to express, to show",JLPT JLPT_2 JLPT_3
現す,あらわす,"to show, to appear, to reveal",JLPT JLPT_2 JLPT_3
著す,あらわす,"to write, to publish",JLPT JLPT_2 JLPT_3
現れ,あらわれ,"expression, indication, sign",JLPT JLPT_2 JLPT_3
現れる,あらわれる,"to appear (v.i.), to become visible; to express",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
ありがとう,ありがとう,Thank you,JLPT JLPT_2 JLPT_3
在る; 有る,ある,"to live, to be, to exist",JLPT JLPT_2 JLPT_3
或,ある,"a certain..., some...",JLPT JLPT_2 JLPT_3
あるいは,あるいは,"or, perhaps",JLPT JLPT_2 JLPT_3
アルバム,アルバム,album,JLPT JLPT_2 JLPT_3
泡,あわ,"bubble, foam",JLPT JLPT_2 JLPT_3
合わせる,あわせる,to combine,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
慌てる,あわてる,to become confused、to panic,JLPT JLPT_2 JLPT_3
哀れ,あわれ,"helpless, pity, pathetic",JLPT JLPT_2 JLPT_3
案,あん,"plan, scheme, proposal",JLPT JLPT_2 JLPT_3
案外,あんがい,unexpectedly,JLPT JLPT_2 JLPT_3
暗記,あんき,"memorization, learning by heart",JLPT JLPT_2 JLPT_3
安定,あんてい,"stability, equilibrium",JLPT JLPT_2 JLPT_3
あんなに,あんなに,"to that extent, to that degree",JLPT JLPT_2 JLPT_3
あんまり,あんまり,"not very, not much",JLPT JLPT_2 JLPT_3
胃,い,stomach,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
委員,いいん,committee member,JLPT JLPT_2 JLPT_3
意外,いがい,"unexpected, surprising",JLPT JLPT_2 JLPT_3
行き,いき,going,JLPT JLPT_2 JLPT_3
行き,ゆき,going,JLPT JLPT_2 JLPT_3
息,いき,breath,JLPT JLPT_2 JLPT_3
勢い,いきおい,"force, vigor, momentum",JLPT JLPT_2 JLPT_3
生き物,いきもの,"living thing, creature",JLPT JLPT_2 JLPT_3
いけない,いけない,"must not do, bad, wrong",JLPT JLPT_2 JLPT_3
医師,いし,"doctor, physician",JLPT JLPT_2 JLPT_3
意思,いし,"intention, purpose",JLPT JLPT_2 JLPT_3
意志,いし,"will, volition",JLPT JLPT_2 JLPT_3
維持,いじ,"maintenance, preservation",JLPT JLPT_2 JLPT_3
意識,いしき,"consciousness, senses",JLPT JLPT_2 JLPT_3
異常,いじょう,"strangeness, abnormality, disorder",JLPT JLPT_2 JLPT_3
意地悪,いじわる,"malicious, mean, unkind",JLPT JLPT_2 JLPT_3
泉,いずみ,"spring, fountain",JLPT JLPT_2 JLPT_3
いずれ,いずれ,"where, which, who",JLPT JLPT_2 JLPT_3
以前,いぜん,in the past; before,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
板,いた,"board, plank",JLPT JLPT_2 JLPT_3
偉大,いだい,greatness,JLPT JLPT_2 JLPT_3
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
いたずら,いたずら,"trick, practical joke",JLPT JLPT_2 JLPT_3
いただきます,いただきます,expression of gratitude before meals,JLPT JLPT_2 JLPT_3
痛み,いたみ,"pain, ache, sore",JLPT JLPT_2 JLPT_3
至る,いたる,"to come, to arrive",JLPT JLPT_2 JLPT_3
市,いち,"market, fair",JLPT_1 JLPT JLPT_2 JLPT_3
位置,いち,"place, position",JLPT JLPT_2 JLPT_3
一時,いちじ,"for a time, temporarily",JLPT JLPT_2 JLPT_3
一度に,いちどに,all at once,JLPT JLPT_2 JLPT_3
市場,いちば,"market, bazaar",JLPT JLPT_2 JLPT_3
いつか,いつか,"sometime, one day",JLPT JLPT_2 JLPT_3
一家,いっか,"family, clan",JLPT JLPT_2 JLPT_3
一種,いっしゅ,"a species, a kind, a variety",JLPT JLPT_2 JLPT_3
一瞬,いっしゅん,"a moment, an instant",JLPT JLPT_2 JLPT_3
一生,いっしょう,throughout (one's) life,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
一層,いっそう,"much more, still more",JLPT JLPT_2 JLPT_3
一体,いったい,one object; body; what on earth?; generally,JLPT JLPT_2 JLPT_3
一致,いっち,agreement; conformity,JLPT JLPT_2 JLPT_3
いつでも,いつでも,"(at) any time, always",JLPT JLPT_2 JLPT_3
いつのまにか,いつのまにか,before one knows,JLPT JLPT_2 JLPT_3
一般,いっぱん,"general, average",JLPT JLPT_2 JLPT_3
一方,いっぽう,on the other hand; meanwhile,JLPT JLPT_2 JLPT_3
いつまでも,いつまでも,"forever, for good, eternally",JLPT JLPT_2 JLPT_3
移動,いどう,"migration, movement",JLPT JLPT_2 JLPT_3
従兄弟,いとこ,cousin (male),JLPT JLPT_2 JLPT_3
従姉妹,いとこ,cousin (female),JLPT JLPT_2 JLPT_3
稲,いね,rice-plant,JLPT JLPT_2 JLPT_3
居眠り,いねむり,"dozing, nodding off",JLPT JLPT_2 JLPT_3
命,いのち,life,JLPT JLPT_2 JLPT_3
違反,いはん,"violation (of law), infringement",JLPT JLPT_2 JLPT_3
衣服,いふく,clothes,JLPT JLPT_2 JLPT_3
居間,いま,living room,JLPT JLPT_2 JLPT_3
今に,いまに,"before long, soon",JLPT JLPT_2 JLPT_3
今にも,いまにも,"at any time, soon",JLPT JLPT_2 JLPT_3
イメージ,イメージ,one's image,JLPT JLPT_2 JLPT_3
否,いや,"no, the noes",JLPT JLPT_2 JLPT_3
以来,いらい,"since, henceforth",JLPT JLPT_2 JLPT_3
依頼,いらい,request; dependence,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
いらいら,いらいら,"getting nervous, irritation",JLPT JLPT_2 JLPT_3
いらっしゃい,いらっしゃい,welcome,JLPT JLPT_2 JLPT_3
医療,いりょう,"medical care, medical treatment",JLPT JLPT_2 JLPT_3
岩,いわ,rock,JLPT JLPT_2 JLPT_3
祝い,いわい,"celebration, festival",JLPT JLPT_2 JLPT_3
祝う,いわう,"to congratulate, to celebrate",JLPT JLPT_2 JLPT_3
言わば,いわば,so to speak,JLPT JLPT_2 JLPT_3
いわゆる,いわゆる,"the so-called, so-to-speak",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
インク,インク,ink,JLPT JLPT_2 JLPT_3
印刷,いんさつ,printing,JLPT JLPT_2 JLPT_3
印象,いんしょう,impression,JLPT JLPT_2 JLPT_3
引退,いんたい,retirement,JLPT JLPT_2 JLPT_3
インタビュー,インタビュー,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
引用,いんよう,"quotation, citation",JLPT JLPT_2 JLPT_3
ウイスキー,ウイスキー,whiskey,JLPT JLPT_2 JLPT_3
上,うわ,"upper, outer, surface",JLPT JLPT_2 JLPT_3
魚,うお,fish,JLPT JLPT_2 JLPT_3
うがい,うがい,gargling,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
受け取る,うけとる,"to receive, to get, to accept",JLPT JLPT_2 JLPT_3
動かす,うごかす,"to move, to shift",JLPT JLPT_2 JLPT_3
兎,うさぎ,"rabbit, hare",JLPT JLPT_2 JLPT_3
牛,うし,"cattle, cow",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
失う,うしなう,"to lose, to part with",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
疑う,うたがう,"to doubt, to distrust",JLPT JLPT_2 JLPT_3
宇宙,うちゅう,"universe, cosmos, space",JLPT JLPT_2 JLPT_3
討つ,うつ,"to attack, to avenge",JLPT JLPT_2 JLPT_3
撃つ,うつ,"to attack, to shoot",JLPT JLPT_2 JLPT_3
うっかり,うっかり,carelessly; inadvertently,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
映す,うつす,"to project, to reflect, to cast (shadow)",JLPT JLPT_2 JLPT_3
訴える,うったえる,"to complain, to appeal, to sue (a person)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
写る,うつる,"to be photographed, to be projected",JLPT JLPT_2 JLPT_3
映る,うつる,"to be reflected, to come out (photo)",JLPT JLPT_2 JLPT_3
うなる,うなる,"to groan, to moan",JLPT JLPT_2 JLPT_3
奪う,うばう,"to rob, to deprive",JLPT JLPT_2 JLPT_3
馬,うま,horse; promoted bishop (in Japanese chess known as shogi),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
生まれ,うまれ,"birth, birth-place",JLPT JLPT_2 JLPT_3
有無,うむ,"yes or no, presence or absence",JLPT JLPT_2 JLPT_3
梅,うめ,"plum, lowest (of a three-tier ranking system)",JLPT JLPT_2 JLPT_3
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",JLPT JLPT_2 JLPT_3
裏切る,うらぎる,"to betray, to turn traitor",JLPT JLPT_2 JLPT_3
羨ましい,うらやましい,"envious, enviable",JLPT JLPT_2 JLPT_3
売れる,うれる,to be sold,JLPT JLPT_2 JLPT_3
噂,うわさ,"rumor, gossip",JLPT JLPT_2 JLPT_3
運,うん,"fortune, luck",JLPT JLPT_2 JLPT_3
運転,うんてん,"operation, driving",JLPT JLPT_2 JLPT_3
柄,え,"handle (of a sword, dagger, etc.), grip",JLPT_1 JLPT JLPT_2 JLPT_3
永遠,えいえん,"eternity, perpetuity, immortality",JLPT JLPT_2 JLPT_3
永久,えいきゅう,"eternity, perpetuity, immortality",JLPT JLPT_2 JLPT_3
影響,えいきょう,"influence, effect",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
営業,えいぎょう,"business, trade, management",JLPT JLPT_2 JLPT_3
衛星,えいせい,satellite,JLPT_1 JLPT JLPT_2 JLPT_3
栄養,えいよう,"nutrition, nourishment",JLPT JLPT_2 JLPT_3
笑顔,えがお,smile (on one's face),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
描く,えがく,"to draw, to depict, to describe",JLPT JLPT_2 JLPT_3
餌,えさ,"feed, bait",JLPT JLPT_2 JLPT_3
エネルギー,エネルギー,energy (GER: energie),JLPT JLPT_2 JLPT_3
得る,える,"to get, to gain, to win, to learn",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
得る,うる,"to get, to gain, to win",JLPT JLPT_2 JLPT_3
円,えん,"circle, yen",JLPT JLPT_2 JLPT_3
延期,えんき,"postponement, adjournment",JLPT JLPT_2 JLPT_3
演技,えんぎ,"acting, performance",JLPT JLPT_2 JLPT_3
援助,えんじょ,"assistance, aid, support",JLPT JLPT_2 JLPT_3
エンジン,エンジン,engine,JLPT JLPT_2 JLPT_3
演説,えんぜつ,"speech, address",JLPT JLPT_2 JLPT_3
演奏,えんそう,musical performance,JLPT JLPT_2 JLPT_3
老い,おい,"old age, the aged",JLPT JLPT_2 JLPT_3
追い付く,おいつく,"to overtake, to catch up (with)",JLPT JLPT_2 JLPT_3
王,おう,king,JLPT JLPT_2 JLPT_3
追う,おう,"to chase, to run after",JLPT JLPT_2 JLPT_3
応援,おうえん,"aid, assistance, help",JLPT JLPT_2 JLPT_3
王様,おうさま,king,JLPT JLPT_2 JLPT_3
王子,おうじ,prince,JLPT JLPT_2 JLPT_3
応じる,おうじる,"to adapt, to respond, to comply with",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
横断,おうだん,crossing,JLPT JLPT_2 JLPT_3
終える,おえる,to finish,JLPT JLPT_2 JLPT_3
大いに,おおいに,"much, considerably (same as 大変 (たいへん)), greatly",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
覆う,おおう,"to cover, to hide, to conceal",JLPT JLPT_2 JLPT_3
大家,おおや,landlord,JLPT JLPT_2 JLPT_3
丘,おか,"hill, height",JLPT JLPT_2 JLPT_3
沖,おき,open sea,JLPT JLPT_2 JLPT_3
奥,おく,"interior, inner part",JLPT JLPT_2 JLPT_3
贈る,おくる,"to present, to give to, to award to",JLPT JLPT_2 JLPT_3
起こる,おこる,"to occur, to happen",JLPT JLPT_2 JLPT_3
押える,おさえる,"to stop, to restrain, to press down",JLPT JLPT_2 JLPT_3
幼い,おさない,"very young, childish",JLPT JLPT_2 JLPT_3
収める,おさめる,"to store to pay, to supply",JLPT JLPT_2 JLPT_3
納める,おさめる,"to store to pay, to supply",JLPT JLPT_2 JLPT_3
治める,おさめる,"to govern, to manage; to subdue",JLPT JLPT_2 JLPT_3
お辞儀,おじぎ,bow,JLPT JLPT_2 JLPT_3
お洒落,おしゃれ,"smartly dressed, fashion-conscious",JLPT JLPT_2 JLPT_3
お喋り,おしゃべり,"chattering, talk",JLPT JLPT_2 JLPT_3
汚染,おせん,"pollution, contamination",JLPT JLPT_2 JLPT_3
恐らく,おそらく,perhaps,JLPT JLPT_2 JLPT_3
恐れる,おそれる,"to fear, to be afraid of",JLPT JLPT_2 JLPT_3
恐ろしい,おそろしい,"terrible, dreadful",JLPT JLPT_2 JLPT_3
教わる,おそわる,to be taught,JLPT JLPT_2 JLPT_3
お互い,おたがい,"mutual, reciprocal, each other",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
穏やか,おだやか,"calm, gentle, quiet",JLPT JLPT_2 JLPT_3
男の人,おとこのひと,man,JLPT JLPT_3 JLPT_2 Genki_Ln.7 Genki
大人しい,おとなしい,"obedient, docile, quiet",JLPT JLPT_2 JLPT_3
劣る,おとる,"to fall behind, to be inferior to",JLPT JLPT_2 JLPT_3
鬼,おに,"ogre, demon, 'it' (e.g.,in a game of tag)",JLPT JLPT_2 JLPT_3
帯,おび,"band, sash",JLPT JLPT_2 JLPT_3
お昼,おひる,"lunch, noon",JLPT JLPT_2 JLPT_3
オフィス,オフィス,office,JLPT JLPT_2 JLPT_3
溺れる,おぼれる,"to be drowned, to indulge in",JLPT JLPT_2 JLPT_3
お前,おまえ,"you (sing), presence (of a high personage)",JLPT JLPT_2 JLPT_3
おめでとう,おめでとう,"Congratulations!, an auspicious occasion!",JLPT JLPT_2 JLPT_3
お目に掛かる,おめにかかる,"meet ~, see ~",JLPT JLPT_2 JLPT_3
思い付く,おもいつく,"to think of, to hit upon",JLPT JLPT_2 JLPT_3
思い出,おもいで,"memories, recollections, reminiscence",JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki
主に,おもに,"mainly, primarily",JLPT JLPT_2 JLPT_3
思わず,おもわず,"unintentional, spontaneous",JLPT JLPT_2 JLPT_3
泳ぎ,およぎ,swimming,JLPT JLPT_2 JLPT_3
およそ,およそ,"about, roughly, approximately",JLPT JLPT_2 JLPT_3
及ぼす,およぼす,"to exert, to cause, to exercise",JLPT JLPT_2 JLPT_3
下す,おろす,"to lower, to let go down",JLPT JLPT_2 JLPT_3
降ろす,おろす,"to take down, to launch, to drop",JLPT JLPT_2 JLPT_3
卸す,おろす,"to sell wholesale, grated (vegetables)",JLPT JLPT_2 JLPT_3
音,おん,"sound, note",JLPT JLPT_2 JLPT_3
恩,おん,"favor, obligation, debt of gratitude",JLPT JLPT_2 JLPT_3
温暖,おんだん,warmth,JLPT JLPT_2 JLPT_3
温度,おんど,temperature,JLPT JLPT_2 JLPT_3
可,か,passable,JLPT JLPT_2 JLPT_3
蚊,か,mosquito,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
課,か,"department, division",JLPT JLPT_2 JLPT_3
カー,カー,car,JLPT JLPT_2 JLPT_3
カード,カード,"card, curd",JLPT JLPT_2 JLPT_3
貝,かい,"shell, shellfish",JLPT JLPT_2 JLPT_3
害,がい,"harm, damage",JLPT JLPT_2 JLPT_3
会員,かいいん,"member, the membership",JLPT JLPT_2 JLPT_3
絵画,かいが,"picture, painting",JLPT JLPT_2 JLPT_3
海外,かいがい,"foreign, abroad, overseas",JLPT JLPT_2 JLPT_3
会計,かいけい,"account, finance",JLPT JLPT_2 JLPT_3
解決,かいけつ,"settlement, solution, resolution",JLPT JLPT_2 JLPT_3
会合,かいごう,"meeting, assembly",JLPT JLPT_2 JLPT_3
外交,がいこう,diplomacy,JLPT JLPT_2 JLPT_3
開始,かいし,"start, commencement, beginning",JLPT JLPT_2 JLPT_3
解釈,かいしゃく,"explanation, interpretation",JLPT JLPT_2 JLPT_3
外出,がいしゅつ,"outing, going out",JLPT JLPT_2 JLPT_3
改善,かいぜん,"betterment, improvement",JLPT JLPT_2 JLPT_3
快適,かいてき,"pleasant, agreeable",JLPT JLPT_2 JLPT_3
回復,かいふく,"recovery (from illness), rehabilitation, restoration",JLPT JLPT_2 JLPT_3
